ID,Year,Player,Club,Goals,Appearances
1,1992/93,Franck Sauzée,Olympique de Marseille,5,7
2,1993/94,Hristo Stoichkov,FC Barcelona,5,6
3,1994/95,George Weah,Paris Saint-Germain,7,10
4,1995/96,Jari Litmanen,AFC Ajax,9,10
5,1996/97,Milinko Pantić,Club Atlético de Madrid,5,8
6,1997/98,Alessandro Del Piero,Juventus,10,10
7,1998/99,Andriy Shevchenko,FC Dynamo Kyiv,8,10
8,1998/99,Dwight Yorke,Manchester United FC,8,11
9,1999/00,Mário Jardel,FC Porto,10,13
10,1999/00,Rivaldo,FC Barcelona,10,14
11,1999/00,Raúl González,Real Madrid CF,10,15
12,2000/01,Raúl González,Real Madrid CF,7,12
13,2001/02,Ruud van Nistelrooy,Manchester United FC,10,14
14,2002/03,Ruud van Nistelrooy,Manchester United FC,12,9
15,2003/04,Fernando Morientes,AS Monaco FC,9,12
16,2004/05,Ruud van Nistelrooy,Manchester United FC,8,7
17,2005/06,Andriy Shevchenko,AC Milan,9,12
18,2006/07,Kaká,AC Milan,10,13
19,2007/08,Cristiano Ronaldo,Manchester United FC,8,11
20,2008/09,Lionel Messi,FC Barcelona,9,12
21,2009/10,Lionel Messi,FC Barcelona,8,11
22,2010/11,Lionel Messi,FC Barcelona,12,13
23,2011/12,Lionel Messi,FC Barcelona,14,11
24,2012/13,Cristiano Ronaldo,Real Madrid CF,12,12
25,2013/14,Cristiano Ronaldo,Real Madrid CF,17,11
26,2014/15,Cristiano Ronaldo,Real Madrid CF,10,12
27,2014/15,Neymar,FC Barcelona,10,12
28,2014/15,Lionel Messi,FC Barcelona,10,13
29,2015/16,Cristiano Ronaldo,Real Madrid CF,16,12
30,2016/17,Cristiano Ronaldo,Real Madrid CF,12,13
31,2017/18,Cristiano Ronaldo,Real Madrid CF,15,13
32,2018/19,Lionel Messi,FC Barcelona,12,10
33,2019/20,Robert Lewandowski,FC Bayern München,15,10
34,2020/21,Erling Haaland,Borussia Dortmund,10,8
35,2021/22,Karim Benzema,Real Madrid CF,15,12
36,2022/23,Erling Haaland,Manchester City FC,12,11
